geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
3617,1140.3229049859924,172.40372007495077,44,211712,43.51088150611642,208885.82176734548,155,717360,154.5108815061164,714533.8217673454,44,211712,43.51088150611642,208885.82176734548,155,717360,154.5108815061164,714533.8217673454
3622,13487.798899748297,869.0668502676666,46,195915,45.55649431622492,194538.54295295823,196,714903,195.55649431622487,713526.5429529583,48,206528,45.983744672988976,197216.10901200457,198,725516,195.98374467298893,716204.1090120046
3612,45.497643235963494,41.978355518757525,59,206528,53.71510915732383,191417.67432181418,168,725876,162.7151091573238,710765.674321814,76,266132,58.325947598054455,207347.82797544083,185,785480,167.3259475980544,726695.8279754405
3603,680.2469924519422,231.3470223243406,70,330309,63.239785420124335,300646.04152095196,163,713157,156.23978542012432,683494.041520952,79,359492,65.60286337178002,307398.3819117267,172,742340,158.60286337178,690246.3819117269
3602,620.9154346884001,136.2429849772394,43,193628,42.52170139744374,191999.8066958634,154,717590,153.5217013974438,715961.8066958635,43,193628,42.52170139744374,191999.8066958634,154,717590,153.5217013974438,715961.8066958635
3614,89.53802204819891,90.39147389153808,56,212050,46.19716722948666,173805.86104429042,188,724892,178.1971672294866,686647.8610442905,72,263806,50.83297524209171,188619.62113958297,204,776648,182.83297524209163,701461.621139583
3621,41136.13200538116,1199.6824783995062,66,268881,65.40172922156485,265545.7013389549,187,721961,186.40172922156486,718625.7013389551,66,268881,65.40172922156485,265545.7013389549,187,721961,186.40172922156486,718625.7013389551
3625,1343.6488455609908,178.7021284862639,29,144194,27.749094864634145,139818.19919844024,186,717894,184.74909486463417,713518.1991984402,29,144194,27.749094864634145,139818.19919844024,186,717894,184.74909486463417,713518.1991984402
3626,600.0106519922402,141.931320765865,50,190892,48.77721575556881,186491.18760119998,200,716429,198.77721575556885,712028.1876011998,51,196581,49.17921825166071,188778.1798014668,201,722118,199.17921825166073,714315.1798014666
3610,47.44698987469151,91.63737800038068,98,462367,90.62283601138071,436125.528269694,157,721739,149.62283601138077,695497.5282696937,122,521820,97.43575355838801,452587.2699482119,181,781192,156.43575355838806,711959.2699482116
3624,6406.742162863565,439.74401090928484,34,145627,33.143135649898156,142123.23056239032,198,714135,197.1431356498982,710631.2305623902,36,151459,33.832814804480016,144141.42759355324,200,719967,197.83281480448002,712649.4275935531
3604,336.45226503758596,97.56050529119847,32,162311,29.380075617445353,149204.44800357215,142,697755,139.38007561744536,684648.4480035723,41,205401,32.67818979172815,165102.03198322866,151,740845,142.67818979172813,700546.031983229
3619,20973.45887629707,992.679873770542,72,285480,70.00294743623022,275938.2481747579,207,728805,205.0029474362302,719263.2481747577,73,292604,70.32561481404679,278236.9305743232,208,735929,205.3256148140468,721561.9305743229
3606,77.7492006506359,52.02914413757212,57,182246,53.15405751299184,171577.41765139054,215,711166,211.15405751299178,700497.4176513907,71,240135,57.513963591703146,189634.19507025642,229,769055,215.51396359170312,718554.1950702567
3616,219.9852418064858,96.9027116122602,38,173075,35.725487867575865,163983.9899767374,176,684389,173.72548786757585,675297.9899767374,51,232621,39.83953350637872,182559.21636252513,189,743935,177.83953350637867,693873.2163625251
3613,33.44353803296889,37.86690496175533,41,218394,38.2143586305279,208291.13624516322,131,706428,128.21435863052793,696325.1362451633,46,241147,39.873246867200876,215845.95454949455,136,729181,129.87324686720086,703879.9545494947
3618,3665.521323296533,381.35766648483246,49,235884,48.63077778930976,233359.75295639108,156,712249,155.6307777893097,709724.7529563913,53,254117,49.67932234581109,238588.8492135311,160,730482,156.67932234581102,714953.8492135314
3627,10398.019282509129,626.2027086351262,65,292981,63.42025206192573,286587.91168021713,168,720237,166.42025206192582,713843.9116802173,68,312246,63.98620270667325,289945.21654161956,171,739502,166.98620270667334,717201.2165416197
3608,105.05097269694042,79.99437171671474,75,221307,68.36452121393013,203832.653252431,227,706444,220.36452121393012,688969.6532524314,94,283328,74.93849152798401,225390.30972073137,246,768465,226.938491527984,710527.3097207317
3601,2169.474455458838,430.6623800458308,48,214379,40.67219787740389,184488.02429372555,149,707504,141.6721978774039,677613.0242937255,50,225000,41.41519241354133,188465.24660326034,151,718125,142.41519241354135,681590.2466032603
3615,43.96737613720284,31.731157856575088,28,136641,27.49238242960661,133671.28936494747,163,711511,162.49238242960658,708541.2893649475,37,177241,30.201603086826655,146087.77429445297,172,752111,165.20160308682662,720957.7742944531
3611,172.7415274204739,88.27208313365877,64,225110,52.1319555473277,181748.00169607875,181,676257,169.13195554732772,632895.0016960786,93,309463,61.41582228242291,209026.10884189012,210,760610,178.4158222824229,660173.1088418901
3607,44.465737288835776,72.89110331352042,94,335332,88.81676433518828,317997.26090027683,186,702072,180.8167643351883,684737.2609002766,126,444949,96.64630898339387,343634.0328854143,218,811689,188.6463089833939,710374.032885414
3623,19631.626948259403,881.8601360244232,59,254054,57.71513332216484,247824.0671851383,182,715505,180.71513332216486,709275.0671851384,61,259480,58.38136876738776,249649.4436769458,184,720931,181.38136876738778,711100.4436769459
3609,40.742945913322295,40.50682218906547,63,216314,58.69179215412237,201048.25097401688,207,718151,202.69179215412237,702885.250974017,75,249954,62.557394363896805,212344.31941933138,219,751791,206.55739436389683,714181.3194193314
3605,163.6472928180432,88.49522932516066,55,204397,48.40352843466247,179456.91965085975,231,711221,224.4035284346625,686280.9196508598,66,249969,51.53179653213097,192877.59635214225,242,756793,227.53179653213098,699701.5963521422
3620,3269.1925782268754,343.0876793996319,31,131307,30.975581869990418,131219.53800932778,180,706553,179.9755818699904,706465.5380093276,35,153404,32.574463009191916,140072.13054283542,184,728650,181.57446300919193,715318.1305428352
