geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
4004,25760.299692934837,990.9231554257271,40,152913,39.238905439626166,149573.598945764,192,746381,191.23890543962614,743041.598945764,43,168077,40.12945102378113,154109.53348418797,195,761545,192.12945102378112,747577.5334841879
4003,89175.3496716967,1971.9838674940959,63,230336,62.66069257921474,228723.45549907163,197,751582,196.6606925792147,749969.4554990714,65,237636,62.91402045455488,229597.18984279394,199,758882,196.91402045455487,750843.1898427936
4005,5427.7982431904575,473.09207633942225,41,149410,39.550561068014176,143173.77346128668,246,754523,244.5505610680142,748286.773461287,42,155959,39.88334063086099,145353.14681837053,247,761072,244.883340630861,750466.1468183709
4002,56437.19055734144,1425.6413054259885,59,224833,58.298939916062444,222037.14446386285,196,752598,195.2989399160624,749802.1444638628,62,236469,58.863287076053254,224204.76560520256,199,764234,195.8632870760532,751969.7656052024
4001,4374.980993347156,469.70698187274786,34,129613,33.07349395161143,126032.13622309892,215,746267,214.07349395161145,742686.1362230991,37,141678,33.6209154841307,128453.14913874418,218,758332,214.6209154841307,745107.1491387443
