geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
4210,21994.530195697385,1348.2809794366917,154,211657,152.51073705112117,209825.9840338149,575,703584,573.5107370511212,701752.9840338146,164,224805,155.4634229276595,213951.8340622365,585,716732,576.4634229276595,705878.8340622364
4209,14929.832305461658,1093.0472048554363,140,188784,135.44683856096378,183444.50920767334,542,701701,537.4468385609638,696361.5092076734,147,196409,137.81398363580556,186094.48404413837,549,709326,539.8139836358056,699011.4840441385
4217,4545.33748661516,785.8686062470878,144,213583,136.831491510993,203053.9822871389,565,709116,557.8314915109928,698586.9822871386,154,229052,139.17524355877958,206703.65125651265,575,724585,560.1752435587794,702236.6512565125
4214,562.8127491429376,189.30308886739755,113,125591,100.69904377536302,113572.08085728664,721,691965,708.6990437753634,679946.0808572867,148,157397,109.64376337787348,121703.90251295704,756,723771,717.6437633778738,688077.9025129571
4205,27962.252049247345,1112.5246995852897,115,150331,110.03970910900017,144166.24941780238,585,708055,580.039709109,701890.2494178027,117,152656,110.64977372025487,144942.94933935994,587,710380,580.6497737202546,702666.9493393601
4202,191.8111028107576,70.26259186961614,77,96481,69.16397638567429,86748.97929306928,659,686444,651.163976385674,676711.9792930695,103,126417,76.16682880432178,94598.89655956264,685,716380,658.1668288043217,684561.8965595629
4211,8881.795751288357,846.878865957272,120,180318,115.50089728959382,173673.00949645537,553,711482,548.5008972895939,704837.0094964554,130,196516,117.54475443923656,176827.61655970165,563,727680,550.5447544392366,707991.6165597017
4216,2682.36302005837,458.9538311542401,104,176625,97.88922841508993,167329.88728635357,453,701001,446.88922841509,691705.887286354,121,206039,103.05661898310093,175885.2479831627,470,730415,452.05661898310086,700261.2479831629
4213,406.2511289298092,218.91487425618033,127,181538,110.82565138930909,158019.33381209054,557,732144,540.8256513893092,708625.3338120903,176,248178,123.40386860722052,175112.076176603,606,798784,553.4038686072206,725718.0761766027
4208,1879.3328130502139,242.65969136542458,69,122598,67.177816595146,119424.9403257429,431,705986,429.1778165951461,702812.940325743,77,136679,69.39062110196743,123229.15715996452,439,720067,431.3906211019675,706617.1571599647
4203,10148.465872148812,706.2703328209823,122,151066,117.01409094062987,144944.7894018754,584,702209,579.0140909406301,696087.7894018753,129,159646,119.54073678320262,147963.2407092296,591,710789,581.5407367832029,699106.2407092296
4207,2255.8239689923466,734.3450582909467,203,341920,183.65361420501713,312008.21150741255,465,720911,445.6536142050171,690999.2115074124,251,417105,196.4230722144065,331745.127712577,513,796096,458.4230722144065,710736.1277125771
4201,233.83618293090456,162.78296971512063,148,182365,134.69498080637908,166391.5802057135,601,693101,587.6949808063789,677127.5802057136,202,253570,149.449900407705,185563.4882576733,655,764306,602.449900407705,696299.4882576731
4215,3359.519039781054,489.0502404243686,92,157020,87.56481736465604,149246.07084155316,468,704420,463.5648173646559,696646.0708415529,115,188361,93.35961326122215,157306.52060217335,491,735761,469.35961326122197,704706.520602173
4206,2259.13600866362,517.029520049096,134,235108,125.30119614502077,222122.78111058546,415,699796,406.3011961450208,686810.7811105854,161,279981,132.6633657922135,233821.43331314833,442,744669,413.6633657922135,698509.4333131482
4212,5664.994908380321,761.8143575528217,144,186208,134.6565074429287,176211.4028499356,556,717605,546.6565074429287,707608.4028499353,175,215267,141.82304800239277,182690.36524717318,587,746664,553.8230480023927,714087.3652471729
4204,3970.27778311063,334.7931621253438,72,118888,69.97888448588824,115870.2558742046,496,700020,493.97888448588844,697002.2558742043,80,130315,72.33278371747755,119529.16739892552,504,711447,496.33278371747775,700661.1673989255
4218,5385.514997054109,550.3119195042318,116,157840,109.20538774998374,150479.90744314512,512,711387,505.2053877499837,704026.9074431452,150,196511,118.38763855313293,160089.26759433313,546,750058,514.3876385531328,713636.2675943333
