geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
3410,206.09229825479733,100.04306135568882,44,182912,36.550565714084506,148833.1141415203,177,636046,169.55056571408448,601967.1141415202,66,290324,42.73684369234414,178805.31122305806,199,743458,175.73684369234417,631939.311223058
3401,930.164584544688,179.90872967036412,41,190495,37.44820416819758,170982.86718031837,169,705053,165.4482041681976,685540.8671803186,44,203654,38.52172763373576,175304.16091590544,172,718212,166.52172763373576,689862.1609159056
3406,607.3687470033168,229.22370940076712,74,344401,62.82658720370715,293161.5742418249,161,727695,149.8265872037071,676455.5742418249,95,444256,68.47694591766967,318488.74610937736,182,827550,155.47694591766964,701782.7461093774
3402,5923.307417161921,464.6973901717054,82,269137,71.75989711532355,242266.22075372565,190,725693,179.75989711532355,698822.2207537253,90,305501,74.70756520467282,253372.0998113332,198,762057,182.70756520467285,709928.0998113328
3407,2593.3293555894375,314.3180671097887,59,301984,54.515460325820946,277112.4583992959,150,735562,145.51546032582095,710690.4583992958,84,439769,60.71283330332465,311399.29164956725,175,873347,151.71283330332463,744977.291649567
3408,171.1152211336623,110.72033990669607,50,215151,44.90689020647248,193386.68249323627,206,832750,200.9068902064725,810985.6824932364,70,294837,50.55131036406301,214360.4505362963,226,912436,206.55131036406297,831959.4505362965
3405,2622.777252396697,350.4206489408785,55,266615,49.9478380662061,241742.4536244954,155,750565,149.94783806620612,725692.4536244954,66,329937,53.4368717282712,262390.2705420327,166,813887,153.4368717282712,746340.2705420328
3411,1395.0717470235222,224.12148278060596,52,267598,45.85877280425496,237063.5030658206,156,741212,149.85877280425493,710677.5030658208,68,349533,49.6058682479511,256060.1918033968,172,823147,153.6058682479511,729674.1918033968
3403,2579.8530399573747,290.79075502812316,50,209743,44.33625335385138,188576.8297232798,186,767187,180.3362533538514,746020.8297232793,66,287159,49.20564037736525,210141.60107278894,202,844603,185.20564037736528,767585.6010727887
3409,257.27533784722357,102.87872199996363,45,239002,39.512752403204416,208218.5521870042,144,704510,138.51275240320433,673726.5521870041,59,316979,43.31912308370089,229333.66569323375,158,782487,142.31912308370076,694841.6656932337
3412,1079.9263967691084,202.96486860583522,46,243658,40.76838832460714,216941.29877192792,142,683829,136.76838832460714,657112.298771928,71,370259,47.620487248412736,252491.54771463515,167,810430,143.62048724841276,692662.5477146351
3404,1758.8902768562718,248.242920033385,50,262756,43.29485947393662,227966.63046916274,142,695712,135.29485947393658,660922.6304691628,74,378418,49.846384375842106,257200.51549340732,166,811374,141.84638437584206,690156.5154934074
