geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
3901,1806.4857049458903,308.6408161528325,94,127416,82.4265594237355,113054.96313670765,533,715200,521.4265594237355,700838.9631367075,131,171205,92.30236497602435,124978.00750400785,570,758989,531.3023649760244,712762.0075040075
3902,8408.527936219925,543.0769324304614,116,148633,100.97429860172863,128887.490217798,578,725875,562.9742986017286,706129.490217798,148,186071,111.20653426547364,141197.64849525347,610,763313,573.2065342654736,718439.6484952536
3904,12166.605937828303,928.6528134672652,122,146476,116.83657169728647,139444.55372018268,602,698727,596.8365716972864,691695.5537201824,140,175313,121.11400698192283,146438.2324758942,620,727564,601.1140069819227,698689.232475894
3905,14675.94380095469,718.2942895939734,102,116687,95.49881107118713,108373.81404111643,575,714229,568.4988110711872,705915.8140411163,114,131397,99.0387513349502,112846.79523311449,587,728939,572.0387513349503,710388.7952331146
3915,12461.688684424214,834.5793462735935,112,169949,100.1073647916593,149678.91219998882,504,724221,492.1073647916593,703950.9121999888,153,243903,111.05929748830206,169933.8183715138,545,798175,503.059297488302,724205.8183715139
3910,2947.55557541089,280.5681403903914,27,40387,25.46625000715018,37996.99801535969,543,712199,541.4662500071502,709808.9980153599,37,57535,27.907902166058925,41723.792379350045,553,729347,543.9079021660589,713535.7923793503
3907,10096.815294290887,836.1671690769164,134,221530,125.03169268592495,207992.16321210458,499,704770,490.03169268592507,691232.1632121046,165,271336,133.8787667478163,222779.41459307083,530,754576,498.8787667478163,706019.414593071
3913,2361.9869402165796,424.0837735055726,111,161994,99.74024003089937,147663.69257991327,616,691169,604.7402400308989,676838.6925799131,149,208722,110.43609374802993,161190.7204126213,654,737897,615.4360937480292,690365.7204126213
3916,3154.810724915936,437.7577419456324,119,196771,106.83914543156219,178443.9529977535,487,719487,474.8391454315621,701159.9529977532,173,282971,121.65599816962795,200250.95897684418,541,805687,489.6559981696279,722966.9589768437
3909,1435.656769021834,480.1861467786054,132,165085,110.01002356657871,136019.05395529701,721,769406,699.0100235665785,740340.0539552968,190,233785,128.18341418194814,157709.4035695134,779,838106,717.1834141819478,762030.4035695131
3912,5884.486125072479,595.4993540264715,105,152241,93.02149220115592,135820.22659231632,482,702105,470.0214922011558,685684.2265923165,149,218459,106.30911824989502,156764.96856033758,526,768323,483.309118249895,706628.9685603378
3911,641.3840369613513,220.80736829428633,79,99385,64.83776812667367,82692.12967081911,736,706924,721.8377681266742,690231.1296708192,124,156837,78.81803868102182,101037.462095609,781,764376,735.8180386810222,708576.4620956092
3906,18864.717869176966,1159.3079727658373,172,203360,161.57948919736688,191538.5874279873,619,705409,608.5794891973666,693587.5874279875,194,229461,168.17793499337876,199418.03646521596,641,731510,615.1779349933787,701467.0364652163
3914,5180.774911988844,407.393770217076,111,157153,101.00121534889138,144031.96124568337,510,727296,500.00121534889144,714174.9612456833,128,177338,105.6539546566116,149411.3321983254,527,747481,504.6539546566117,719554.3321983254
3903,613.3563574766857,186.0875337568668,74,137319,61.0718586729375,115793.91851814954,587,738683,574.0718586729377,717157.9185181495,116,196510,72.0956970974572,130966.13884449899,629,797874,585.0956970974572,732330.1388444988
3908,6346.902729187332,524.5322114085919,78,107492,74.2508861196048,102352.78067279862,586,720296,582.2508861196048,715156.7806727987,87,118712,76.85667079970176,105509.19506478994,595,731516,584.8566707997018,718313.1950647901
