geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2003,1993.31947679523,233.5725842523605,26,92564,25.837272236070714,92061.04006843946,202,708899,201.83727223607067,708396.0400684393,27,96688,26.17289056163932,93445.13004308438,203,713023,202.1728905616393,709780.1300430843
2004,37255.002426206825,1076.977315276877,24,71891,23.997608135555875,71884.4173245551,182,712939,181.99760813555585,712932.4173245551,25,73516,24.219570993134464,72245.10696812031,183,714564,182.21957099313445,713293.1069681203
2001,136646.87790902486,2011.2648444636825,46,134195,45.15534305315416,131847.0122284947,201,714684,200.15534305315416,712336.0122284949,46,134195,45.15534305315416,131847.0122284947,201,714684,200.15534305315416,712336.0122284949
2002,37172.05808892853,1153.752454428776,57,222110,56.4513334065559,219931.55853039518,185,716596,184.45133340655593,714417.5585303952,59,228044,57.069282823001245,221905.98073778217,187,722530,185.06928282300126,716391.9807377821
