geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
5505,5095.043731755289,382.7287066274929,80,106933,72.16895044681588,97879.87820865479,586,743301,578.1689504468158,734247.8782086546,118,159242,81.97733921032962,111890.8081992581,624,795610,587.9773392103297,748258.8081992577
5506,13462.274769847952,816.0725989183621,105,147038,96.829977670014,135090.81444067243,538,695446,529.8299776700142,683498.8144406722,117,161696,100.55615215705353,139601.54740338345,550,710104,533.5561521570537,688009.5474033833
5502,11942.280400944925,536.6105609660465,44,62034,42.05298523679219,58935.56887607105,477,713090,475.0529852367925,709991.5688760711,56,78078,45.280137435418055,63689.778004052685,489,729134,478.2801374354184,714745.7780040527
5508,18202.754152980975,1080.0754029683758,83,105845,78.0540047897934,99597.42979473688,515,690688,510.0540047897934,684440.4297947369,98,127655,82.92850908651447,107010.59410986239,530,712498,514.9285090865144,691853.5941098625
5504,313.99950946609164,115.82501491810196,69,87301,60.281635253470284,76528.36192315436,620,661296,611.2816352534702,650523.3619231546,91,108048,67.19044535923909,83410.38826503934,642,682043,618.190445359239,657405.3882650397
5507,62180.92349748742,1657.7096913783273,99,132545,91.55755121196637,122284.82853805317,602,717967,594.5575512119664,707706.8285380531,117,152954,96.62915571499212,128166.30080899716,620,738376,599.6291557149921,713588.3008089971
5501,4608.007991213802,326.80140569518966,74,101530,63.05246368306084,85095.16818577002,545,715032,534.0524636830609,698597.1681857699,104,140413,71.89016941725062,95972.08337532192,575,753915,542.8901694172508,709474.0833753219
5503,29531.24936407256,1360.3581284679065,119,146796,112.69911424035311,138982.91508556562,550,702384,543.6991142403529,694570.9150855653,134,168714,116.9996723103629,145710.477933676,565,724302,547.9996723103626,701298.4779336757
