geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1808,19050.461643835188,999.5079449417723,48,182396,47.625152103486585,181434.87041382314,177,718755,176.62515210348658,717793.8704138232,50,189304,48.28750717954951,183697.18905087656,179,725663,177.2875071795495,720056.1890508764
1803,10959.248596537096,513.3283970760216,37,154298,35.30425135115484,147786.73992035008,182,721729,180.30425135115482,715217.7399203501,39,163823,35.52383392293996,148822.11935224652,184,731254,180.52383392293993,716253.1193522465
1806,16179.341362138211,648.0445982934789,47,230119,46.576165282752775,227871.29659944607,165,722138,164.57616528275273,719890.296599446,47,230119,46.576165282752775,227871.29659944607,165,722138,164.57616528275273,719890.296599446
1805,5021.981565142576,406.8291862246711,34,182828,32.13514944186162,175261.18296396037,148,720648,146.13514944186164,713081.1829639603,44,228188,35.20545834668827,188729.73211839725,158,766008,149.2054583466883,726549.7321183973
1807,790.2857536285596,125.72148286564897,33,180373,30.728222244218152,170437.1712931458,181,720047,178.72822224421816,710111.1712931459,36,193164,31.372744603640545,172997.35815614462,184,732838,179.37274460364057,712671.3581561445
1804,16511.59077307443,690.8907595161194,43,206958,42.125859774234485,202772.17755423445,159,719225,158.1258597742345,715039.1775542344,46,221627,43.229247327426286,207557.10464027416,162,733894,159.2292473274263,719824.1046402741
1801,3008.992295227123,283.3366420819807,38,168374,32.67101770722724,150891.46799492513,165,720607,159.6710177072272,703124.4679949253,41,175820,33.94496240656546,154018.53923167006,168,728053,160.9449624065654,706251.5392316702
1802,10374.20834396849,523.566672342569,38,169755,37.13567135716664,166448.7160318737,175,715273,174.13567135716673,711966.7160318737,46,206219,39.760469123785064,177664.59850388282,183,751737,176.76046912378513,723182.5985038829
1809,11755.424422022374,620.7240128186965,39,190200,37.84641588924575,185455.41269665124,154,721329,152.84641588924578,716584.4126966512,40,195939,38.110612155655176,186971.63506957493,155,727068,153.1106121556552,718100.6350695749
