geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2804,21111.71814163974,905.0753723752271,38,203998,34.25508438345361,187579.1691692011,145,728558,141.2550843834536,712139.1691692012,46,223084,36.78375565997782,193720.62070128843,153,747644,143.78375565997786,718280.6207012883
2803,33419.392519346264,1516.9551244609518,61,303924,57.76592223232636,288118.9561914334,158,740808,154.7659222323264,725002.9561914335,64,321909,58.86137021410299,293685.3725668358,161,758793,155.86137021410306,730569.3725668358
2801,27791.433697948112,990.0874007421758,49,236702,48.911476628273114,236262.20711800887,160,738676,159.9114766282731,738236.2071180089,51,251546,49.72707575149363,242260.53391817864,162,753520,160.72707575149363,744234.5339181788
2802,41274.3633639438,1758.1679906587583,54,241616,52.712401035860395,235044.35271365973,192,748075,190.71240103586038,741503.3527136596,60,265099,54.39963010448353,241809.50991820145,198,771558,192.39963010448352,748268.5099182014
