geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1801,2995.8643849758496,274.68790086420296,50,73470,43.30218163513246,66128.99224338826,487,714900,480.3021816351325,707558.9922433883,59,85520,46.28139645381056,70071.00017387336,496,726950,483.2813964538106,711501.0001738735
1806,16161.84685259971,638.7971588190826,74,104195,71.76612462954195,100763.24743588798,566,721311,563.766124629542,717879.2474358882,76,113598,72.27947007687759,102955.09241564864,568,730714,564.2794700768777,720071.0924156487
1802,10379.59489186922,511.79173015358583,60,86816,57.81196797744553,82843.82973635154,577,722885,574.8119679774455,718912.8297363515,70,101610,60.50919747913368,86726.594807588,587,737679,577.5091974791337,722795.594807588
1808,19030.018200066585,928.3255919747456,86,97181,83.67068537243263,94850.34395835282,643,720412,640.6706853724326,718081.3439583526,88,99567,84.4107972624088,95733.15632544848,645,722798,641.4107972624088,718964.1563254482
1805,4965.288313011765,379.8056522420946,63,109820,56.24247022658889,96984.63223650024,420,711821,413.24247022658903,698985.6322365002,72,125651,59.102363768207304,102185.63960947123,429,727652,416.10236376820745,704186.6396094713
1809,11769.362675608656,597.4437391368439,68,96920,65.42108949379909,93999.68402842042,495,718734,492.4210894937992,715813.6840284204,76,108398,67.38201019042641,97087.67746191737,503,730212,494.38201019042646,718901.6774619173
1807,808.7403695909653,111.32157268199406,30,89319,29.074340459789468,87364.06748210591,524,723339,523.0743404597896,721384.0674821057,47,118440,34.551213700615506,97067.89603920057,541,752460,528.5512137006156,731087.8960392004
1803,10961.844422593605,502.9822579607289,53,62199,51.128573340696654,60325.97575631578,571,718275,569.1285733406968,716401.9757563159,58,70556,52.138207386623044,62113.37466899739,576,726632,570.1382073866231,718189.3746689975
1804,16559.362869938413,670.1038594869607,78,123259,75.29346318937601,118371.90718927463,523,726525,520.2934631893759,721637.9071892743,81,127708,75.94569515954244,119192.81513150962,526,730974,520.9456951595424,722458.8151315093
