geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2206,11371.35716807642,1112.8138431852365,61,306303,53.03061925291286,266407.4269689445,140,762864,132.0306192529128,722968.4269689446,86,420064,59.55519973677706,297175.4365073886,165,876625,138.55519973677704,753736.4365073884
2205,38435.622347161596,1742.8095504937767,68,299925,64.98708238434932,286293.3353494804,189,760056,185.9870823843493,746424.3353494804,72,320624,65.91945468627891,290777.8112642462,193,780755,186.91945468627887,750908.811264246
2202,3911.917934053658,658.1224114923631,66,256487,57.37171073426656,219256.19306472552,279,758346,270.37171073426657,721115.1930647255,97,388236,66.18217461785909,258006.4342953212,310,890095,279.1821746178592,759865.4342953213
2201,15172.818371045989,1696.0028322568446,61,267894,53.16640242406677,237722.99347291,187,735641,179.16640242406677,705469.9934729097,88,383546,59.800256666043126,266465.2198885653,214,851293,185.80025666604317,734212.219888565
2204,33292.66769260669,1296.0530446052571,49,211957,47.22902004107069,203195.1057856051,180,759483,178.2290200410707,750721.1057856049,53,229968,47.70924637739551,205374.2913283836,184,777494,178.70924637739552,752900.2913283834
2203,20258.75241304699,954.3213914426082,25,116992,24.184793051239566,114571.22526778141,160,745993,159.18479305123964,743572.2252677814,28,130425,25.42873430463799,120013.29509257496,163,759426,160.42873430463806,749014.295092575
