geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
3501,11925.85981706062,746.7327827875911,22,111734,20.841937799546702,106192.40701237769,156,677544,154.8419377995467,672002.4070123775,30,149275,23.019945159489122,116656.61728750262,164,715085,157.01994515948914,682466.6172875023
3502,186261.3741708552,2404.328857602428,42,170091,39.84537767404544,161628.76448410333,168,700270,165.84537767404544,691807.7644841032,47,192010,40.89195765564375,165601.44751025722,173,722189,166.89195765564375,695780.447510257
3503,116759.97797185916,1962.770508601539,49,197578,47.25947342075539,190209.97855891217,175,681365,173.2594734207554,673996.9785589121,55,221441,48.76182522361157,195750.75577893894,181,705228,174.76182522361157,679537.7557789388
