,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
0,0105,9981.996661640982,675.0013563513918,69,101553,68.66575855174729,101235.45610366786,426,683019,425.6657585517473,682701.4561036678,69,101553,68.66575855174729,101235.45610366786,426,683019,425.6657585517473,682701.4561036678,0.27530746866944944,153.0,0.08947700063011972,0.09027931846815766,6.62288585187055e-05,6.661400440332327e-05,116.0,118.0,102.0,109.0,0.08947700063011972,0.09027931846815766,6.62288585187055e-05,6.661400440332327e-05,97.0,113.0,82.0,103.0
1,0106,10971.185234984854,1001.0043526173308,123,182929,117.46397858472022,171818.35004508973,435,689261,429.4639785847203,678150.3500450896,138,201423,121.57247077877035,176588.0670627276,450,707755,433.5724707787703,682920.0670627275,0.13759146026329636,350.0,0.028752726551655762,0.031125571184967647,2.059769320740291e-05,2.297137025097774e-05,341.0,338.0,315.0,304.0,0.023629489603024575,0.029335345869125357,1.744475305437727e-05,2.190015399786803e-05,352.0,338.0,312.0,307.0
2,0101,17977.7789567485,1180.5555986344268,56,76853,54.942438458149674,75826.0873100949,437,681307,435.9424384581497,680280.087310095,59,80611,55.77411039048538,76809.69623500643,440,685065,436.77411039048536,681263.6962350063,0.1620962657722161,318.0,0.13934948979591838,0.14441532712096006,0.000115350956710946,0.00011831790346421895,68.0,71.0,48.0,53.0,0.12640045963803503,0.14040791296135677,0.00010542489145091519,0.00011547371852529075,61.0,69.0,46.0,50.0
3,0104,23576.15945761574,1285.8500517976522,116,157350,115.4029576053517,156230.12085569676,545,683524,544.4029576053518,682404.1208556966,120,162125,116.16577539764158,157087.50604926056,549,688299,545.1657753976417,683261.5060492605,0.179185255726042,292.0,0.04050237812128418,0.04087771367877014,2.7607067282240243e-05,2.7958386434318134e-05,278.0,289.0,255.0,268.0,0.038125,0.040399146725552004,2.618648217908714e-05,2.768877003031732e-05,261.0,281.0,242.0,257.0
4,0103,20001.238338312694,1062.7812334146693,102,153905,101.70834323242538,153205.78443711606,467,684416,466.70834323242536,683716.7844371161,103,155189,101.90107309663769,153453.2495827646,468,685700,466.9010730966377,683964.2495827647,0.22252509491752465,225.0,0.044886582083813915,0.045116188735611545,2.8894467504917552e-05,2.9129022821847282e-05,265.0,270.0,248.0,257.0,0.0441134885474597,0.0449642503420238,2.8471626653876118e-05,2.904565821893911e-05,228.0,259.0,222.0,247.0
5,0102,26559.162900776948,1221.3423094444645,114,140546,112.19228919351177,138543.80632910694,520,681874,518.1922891935118,679871.8063291071,120,147320,113.71455982024388,140190.679837016,526,688648,519.7145598202438,681518.6798370162,0.22374299260215366,224.0,0.040012311480455524,0.04116848897810343,3.451971100527285e-05,3.542034617253236e-05,281.0,288.0,211.0,219.0,0.03652777777777778,0.04019136300381871,3.173027749147056e-05,3.4676837265254365e-05,272.0,282.0,196.0,213.0
6,0107,26617.066573594715,1596.0166602916793,166,213857,158.78379418001938,205704.9018338779,608,676335,600.7837941800194,668182.9018338778,194,259491,166.86509698227434,219562.1882789157,636,721969,608.8650969822744,682040.1882789156,0.1313092176776689,359.0,0.02206416025547975,0.023829002271608585,1.4788186605147907e-05,1.5790870670961828e-05,382.0,382.0,369.0,369.0,0.01689871399723669,0.02186704348307334,1.0721954275191154e-05,1.4147993920125548e-05,390.0,384.0,382.0,378.0
7,0200,1732841.186413411,18344.90942048193,57,60389,57.00000000000002,60389.00000000004,534,710231,534.0,710231.0,57,60389,57.00000000000002,60389.00000000004,534,710231,534.0,710231.0,0.06470494648209003,422.0,0.16435826408125578,0.16435826408125565,0.00019475290669743593,0.0001947529066974357,51.0,57.0,20.0,23.0,0.16435826408125578,0.16435826408125565,0.00019475290669743593,0.0001947529066974357,44.0,52.0,16.0,21.0
8,0405,761.8975889619812,135.72328781327155,78,121401,77.36584632749259,120490.12500290033,424,710445,423.3658463274926,709534.1250029005,78,121401,77.36584632749259,120490.12500290033,424,710445,423.3658463274926,709534.1250029005,0.5197538560342571,11.0,0.06969099276791585,0.07073221498236179,4.820431701155555e-05,4.887315522826016e-05,163.0,168.0,146.0,153.0,0.06969099276791585,0.07073221498236179,4.820431701155555e-05,4.887315522826016e-05,135.0,159.0,122.0,146.0
9,0406,1628.7926084494864,254.10537249515514,66,98752,64.05480201017056,95655.42782988882,511,710883,509.0548020101706,707786.4278298891,74,109759,66.01232772073583,97984.30389018806,519,721890,511.01232772073575,710115.3038901881,0.31699174977569905,116.0,0.11730945821854913,0.12406839163846675,7.289644153067876e-05,7.735403873624935e-05,86.0,82.0,86.0,86.0,0.0947772096420745,0.11726847651497309,5.992261293990011e-05,7.396322666741754e-05,89.0,86.0,98.0,86.0
10,0407,531.9770094388333,126.18988584490887,80,117467,79.57808449819238,117000.60408208474,443,707804,442.57808449819237,707337.6040820847,83,123192,80.71063772496635,119139.25390224726,446,713529,443.7106377249664,709476.2539022472,0.4198108249179442,49.0,0.06921875,0.06988805312792845,5.12957350884241e-05,5.1671436922822995e-05,165.0,172.0,138.0,144.0,0.06474089127594716,0.06811429769827049,4.7016101677835956e-05,4.998366672721549e-05,153.0,170.0,129.0,143.0
11,0403,40635.35598346699,1400.269534773383,120,213148,116.46681462151686,207652.78326025035,426,707734,422.4668146215168,702238.7832602505,135,237400,120.41127144897914,214053.9195351645,441,731986,426.4112714489791,708639.9195351645,0.26042978507245773,182.0,0.029583333333333333,0.031144990654241256,1.557785065693625e-05,1.6285807533523145e-05,337.0,337.0,363.0,365.0,0.02419753086419753,0.029409957136151108,1.2987972056163053e-05,1.5466044108510797e-05,346.0,337.0,359.0,364.0
12,0401,142829.58862412663,2965.26790852378,86,131976,81.62932090095183,125378.74547370715,479,715992,474.629320900952,709394.745473707,100,159886,85.85559260572973,134634.84639135565,493,743902,478.8555926057299,718650.8463913555,0.20412686910413635,256.0,0.06476473769605191,0.07122987740852608,4.110723322727053e-05,4.5127380751054224e-05,177.0,166.0,170.0,164.0,0.0493,0.06496319610955634,2.910012477995121e-05,3.9646329224287954e-05,206.0,179.0,219.0,177.0
13,0408,1401.025918900503,295.7328533039137,74,138371,71.45759688995426,133333.9556730857,480,709723,477.4575968899545,704685.9556730858,82,153382,73.89541559949875,138004.4962540119,488,724734,479.8954155994989,709356.496254012,0.20130607761868302,260.0,0.08765522279035792,0.09350568027591825,3.706796296955881e-05,3.96382149791941e-05,121.0,115.0,195.0,188.0,0.0725758477096966,0.08788436297934935,3.0805612162202007e-05,3.724586613335068e-05,128.0,119.0,203.0,197.0
