geoid,dperim,dpperim,darea,dparea
3619,1002,30644,38279,717708
3606,352,48652,4330,717707
3617,421,29387,12058,717708
3618,563,32242,17035,717707
3611,204,45391,6140,717708
3610,469,138806,2277,717707
3622,828,14974,29206,717708
3625,172,9247,10511,717707
3615,117,26657,2406,717708
3623,844,13359,38098,717707
3602,329,17205,12370,717708
3601,215,12041,16064,717707
3616,290,22965,7351,717707
3605,352,41120,6355,717708
3614,322,59071,3677,717708
3607,588,132837,2822,717708
3620,475,14917,17244,717708
3627,591,25534,20554,717707
3612,291,90579,2428,717707
3613,164,60153,1538,717707
3621,700,11277,41041,717707
3603,391,27200,11384,717707
3609,313,80072,2328,717708
3626,252,18566,9930,717707
3604,351,20260,11444,717708
3608,404,81760,3468,717708
3624,407,9797,19831,717707
