geoid,dperim,dpperim,darea,dparea
1706,1204,76710,14855,712813
1709,725,59212,12186,712813
1710,744,45618,13676,712813
1703,1161,65330,14819,712813
1713,1313,27451,36177,712813
1712,818,11210,40955,712813
1701,1209,57630,15914,712813
17ZZ,93,0,102,0
1708,823,70661,11448,712812
1707,1229,75623,13805,712812
1718,1404,22806,48553,712813
1704,1378,65619,11011,712813
1702,729,21866,20155,712813
1716,1299,20907,43447,712813
1714,1346,54487,20994,712813
1705,1169,77282,12700,712813
1715,1369,15665,69222,712813
1711,877,52661,12371,712813
1717,1155,28413,39164,712813
