geoid,dperim,dpperim,darea,dparea
4204,586,16633,22045,705687
4203,915,30347,29048,705688
4215,811,26478,24372,705687
4214,848,42402,20322,705688
4210,1494,31474,45327,705687
4206,1303,55084,16602,705688
4217,1244,35248,26261,705687
4213,902,76344,9721,705687
4211,1214,28080,33443,705688
4209,1323,24259,40903,705688
4218,1039,38773,21754,705688
4216,973,29651,17784,705688
4205,1152,23134,43154,705688
4202,552,40239,8954,705688
4212,1204,37690,23667,705688
4201,973,63431,10638,705688
4207,1829,109210,13815,705688
4208,397,22034,13735,705688
