geoid,dperim,dpperim,darea,dparea
3911,816,63791,11058,721032
3904,1404,35570,35903,721032
3903,1048,76567,13084,721031
3906,1490,25532,45564,721032
3910,371,9942,16963,721032
3912,1259,48122,24446,721031
3901,800,65538,11050,721032
3914,594,42560,14333,721032
3907,1579,57202,36853,721031
3905,1077,28842,40030,721031
3915,1741,48410,26924,721031
3909,822,57119,14075,721032
3913,1371,65736,18966,721031
3916,1114,83575,13280,721031
3902,881,38763,19365,721031
3908,759,25886,23450,721032
