geoid,dperim,dpperim,darea,dparea
1204,878,50340,13197,696345
1224,409,36790,10523,696345
1220,946,80249,11329,696345
1213,261,11534,16998,696345
1210,896,61027,21721,696345
1202,402,4447,37084,696345
1201,371,3024,27822,696345
1212,358,42004,12817,696344
1225,596,37388,11124,696344
1211,446,19111,28227,696345
1207,475,34606,13177,696345
1222,803,57230,11426,696345
1226,464,25006,14308,696345
1215,496,38611,12914,696345
1206,423,14608,21962,696345
1209,471,41609,13284,696345
1203,723,28660,32979,696345
1217,907,32945,33675,696344
1221,311,40337,6793,696345
1219,317,16669,20880,696345
1216,192,5591,19653,696345
1218,292,31072,18537,696344
1227,501,28658,12390,696345
1205,1773,104848,18189,696345
1208,189,5422,19073,696344
1214,494,47720,15493,696345
1223,345,28853,8906,696345
