,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
86,1000,412,14593,24115,897934,0.14206687717975303,0.004216530550922366,29.0,74.0,0.14206687717975303,0.004216530550922366,29.0,74.0
87,1204,878,50340,13197,696345,0.017119307184998003,0.0002747881746199739,375.0,353.0,0.017119307184998003,0.0002747881746199739,375.0,353.0
88,1224,409,36790,10523,696345,0.06290612801214722,0.0005144757226815936,134.0,280.0,0.06290612801214722,0.0005144757226815936,134.0,280.0
89,1220,946,80249,11329,696345,0.012659288693016997,0.00010812975102600478,403.0,416.0,0.012659288693016997,0.00010812975102600478,403.0,416.0
90,1213,261,11534,16998,696345,0.24952657770731493,0.005234371798260578,13.0,66.0,0.24952657770731493,0.005234371798260578,13.0,66.0
91,1210,896,61027,21721,696345,0.027056012834821428,0.00018697365559652515,305.0,384.0,0.027056012834821428,0.00018697365559652515,305.0,384.0
92,1202,402,4447,37084,696345,0.2294745179574763,0.03521196022878255,14.0,16.0,0.2294745179574763,0.03521196022878255,14.0,16.0
93,1201,371,3024,27822,696345,0.2021345384006219,0.0761484184723272,19.0,7.0,0.2021345384006219,0.0761484184723272,19.0,7.0
94,1212,358,42004,12817,696344,0.10000468150182579,0.00039467765419124107,62.0,315.0,0.10000468150182579,0.00039467765419124107,62.0,315.0
95,1225,596,37388,11124,696344,0.03131615692986802,0.0004981491227366344,274.0,282.0,0.03131615692986802,0.0004981491227366344,274.0,282.0
96,1211,446,19111,28227,696345,0.14190412033220054,0.0019065914300143772,30.0,138.0,0.14190412033220054,0.0019065914300143772,30.0,138.0
97,1207,475,34606,13177,696345,0.05840221606648199,0.000581462424294819,141.0,266.0,0.05840221606648199,0.000581462424294819,141.0,266.0
98,1222,803,57230,11426,696345,0.017719975992890918,0.00021260671133693928,371.0,377.0,0.017719975992890918,0.00021260671133693928,371.0,377.0
99,1226,464,25006,14308,696345,0.06645734244946493,0.0011136173995038758,124.0,187.0,0.06645734244946493,0.0011136173995038758,124.0,187.0
100,1215,496,38611,12914,696345,0.05249252081165453,0.00046709192798238483,163.0,292.0,0.05249252081165453,0.00046709192798238483,163.0,292.0
101,1206,423,14608,21962,696345,0.12274142257543495,0.0032631943561360847,41.0,96.0,0.12274142257543495,0.0032631943561360847,41.0,96.0
102,1209,471,41609,13284,696345,0.059880725384396934,0.0004022072592833884,138.0,311.0,0.059880725384396934,0.0004022072592833884,138.0,311.0
103,1203,723,28660,32979,696345,0.06309005239808772,0.0008477583761101229,131.0,227.0,0.06309005239808772,0.0008477583761101229,131.0,227.0
104,1217,907,32945,33675,696344,0.04093483368970241,0.0006415711317314156,207.0,261.0,0.04093483368970241,0.0006415711317314156,207.0,261.0
