,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
0,0102,919,23024,34490,682820,0.04083778436371085,0.0012880854663665457,208.0,173.0,0.04083778436371085,0.0012880854663665457,208.0,173.0
1,0105,629,10598,32943,682819,0.08326487901911075,0.006079358672928956,87.0,59.0,0.08326487901911075,0.006079358672928956,87.0,59.0
2,0101,698,10134,35370,682820,0.07259792612540127,0.00664881782067795,112.0,55.0,0.07259792612540127,0.00664881782067795,112.0,55.0
3,0107,1587,39601,38237,682820,0.015182033924820006,0.0004354055169419273,387.0,301.0,0.015182033924820006,0.0004354055169419273,387.0,301.0
4,0106,1336,33529,29709,682819,0.016644667252321704,0.0006073854660087931,378.0,263.0,0.016644667252321704,0.0006073854660087931,378.0,263.0
5,0103,907,22465,38023,682819,0.04622019840782642,0.0013529842821504024,186.0,168.0,0.04622019840782642,0.0013529842821504024,186.0,168.0
6,0104,1147,19373,43494,682819,0.033059974506103255,0.0018193315054534104,257.0,141.0,0.033059974506103255,0.0018193315054534104,257.0,141.0
7,0200,472,271,45292,710231,0.20330005745475438,9.670769733527594,18.0,1.0,0.20330005745475438,9.670769733527594,18.0,1.0
8,0401,1260,14645,90570,710224,0.057048374905517764,0.003311437723633679,145.0,95.0,0.057048374905517764,0.003311437723633679,145.0,95.0
9,0406,464,24747,13139,710224,0.06102760850178359,0.0011597122037748813,137.0,181.0,0.06102760850178359,0.0011597122037748813,137.0,181.0
10,0407,401,32244,10134,710224,0.06302199613186485,0.000683120815492575,132.0,252.0,0.06302199613186485,0.000683120815492575,132.0,252.0
11,0403,905,32519,24073,710224,0.029392265193370164,0.0006716159165819412,285.0,253.0,0.029392265193370164,0.0006716159165819412,285.0,253.0
12,0408,515,24152,13061,710225,0.049244980676783866,0.001217558271501425,173.0,177.0,0.049244980676783866,0.001217558271501425,173.0,177.0
13,0404,1436,16707,48774,710224,0.0236526330490918,0.0025444762335589603,331.0,116.0,0.0236526330490918,0.0025444762335589603,331.0,116.0
14,0409,603,55135,10023,710224,0.027565324290652872,0.0002336364432376012,301.0,371.0,0.027565324290652872,0.0002336364432376012,301.0,371.0
